"Hand: AAQQT, jokers: 0, comb: two_pair"
"Hand: 459QQ, jokers: 0, comb: one_pair"
"Hand: 459QQ, jokers: 0, comb: one_pair --> one_pair"
"Hand: 89JJT, jokers: 2, comb: one_pair"
"Hand: 89JJT, jokers: 2, comb: one_pair --> three_kind"
"Hand: 5566J, jokers: 1, comb: two_pair"
"Hand: 5566J, jokers: 1, comb: two_pair --> full_house"
"Hand: 35QQQ, jokers: 0, comb: three_kind"
"Hand: 35QQQ, jokers: 0, comb: three_kind --> three_kind"
"Hand: 2367K, jokers: 0, comb: higher_card"
"Hand: 2367K, jokers: 0, comb: higher_card --> higher_card"
"Hand: 678TT, jokers: 0, comb: one_pair"
"Hand: 678TT, jokers: 0, comb: one_pair --> one_pair"
"Hand: 99AAQ, jokers: 0, comb: two_pair"
"Hand: 99AAQ, jokers: 0, comb: two_pair --> two_pair"
"Hand: 6AAAQ, jokers: 0, comb: three_kind"
"Hand: 6AAAQ, jokers: 0, comb: three_kind --> three_kind"
"Hand: 68889, jokers: 0, comb: three_kind"
"Hand: 68889, jokers: 0, comb: three_kind --> three_kind"
"Hand: 2466J, jokers: 1, comb: one_pair"
"Hand: 2466J, jokers: 1, comb: one_pair --> two_pair"
"Hand: 666JJ, jokers: 2, comb: full_house"
"Hand: 666JJ, jokers: 2, comb: full_house --> five_kind"
"Hand: 33388, jokers: 0, comb: full_house"
"Hand: 33388, jokers: 0, comb: full_house --> full_house"
"Hand: 27AKQ, jokers: 0, comb: higher_card"
"Hand: 27AKQ, jokers: 0, comb: higher_card --> higher_card"
"Hand: 267AQ, jokers: 0, comb: higher_card"
"Hand: 267AQ, jokers: 0, comb: higher_card --> higher_card"
"Hand: 33344, jokers: 0, comb: full_house"
"Hand: 33344, jokers: 0, comb: full_house --> full_house"
"Hand: 23458, jokers: 0, comb: higher_card"
"Hand: 23458, jokers: 0, comb: higher_card --> higher_card"
"Hand: 369AA, jokers: 0, comb: one_pair"
"Hand: 369AA, jokers: 0, comb: one_pair --> one_pair"
"Hand: 2238Q, jokers: 0, comb: one_pair"
"Hand: 2238Q, jokers: 0, comb: one_pair --> one_pair"
"Hand: 688KQ, jokers: 0, comb: one_pair"
"Hand: 688KQ, jokers: 0, comb: one_pair --> one_pair"
"Hand: 5588T, jokers: 0, comb: two_pair"
"Hand: 5588T, jokers: 0, comb: two_pair --> two_pair"
"Hand: 22258, jokers: 0, comb: three_kind"
"Hand: 22258, jokers: 0, comb: three_kind --> three_kind"
"Hand: 23555, jokers: 0, comb: three_kind"
"Hand: 23555, jokers: 0, comb: three_kind --> three_kind"
"Hand: 55578, jokers: 0, comb: three_kind"
"Hand: 55578, jokers: 0, comb: three_kind --> three_kind"
"Hand: 22344, jokers: 0, comb: two_pair"
"Hand: 22344, jokers: 0, comb: two_pair --> two_pair"
"Hand: 777JK, jokers: 1, comb: three_kind"
"Hand: 777JK, jokers: 1, comb: three_kind --> four_kind"
"Hand: 777JJ, jokers: 2, comb: full_house"
"Hand: 777JJ, jokers: 2, comb: full_house --> five_kind"
"Hand: 22568, jokers: 0, comb: one_pair"
"Hand: 22568, jokers: 0, comb: one_pair --> one_pair"
"Hand: 5AKQT, jokers: 0, comb: higher_card"
"Hand: 5AKQT, jokers: 0, comb: higher_card --> higher_card"
"Hand: 347KQ, jokers: 0, comb: higher_card"
"Hand: 347KQ, jokers: 0, comb: higher_card --> higher_card"
"Hand: 356QT, jokers: 0, comb: higher_card"
"Hand: 356QT, jokers: 0, comb: higher_card --> higher_card"
"Hand: 23569, jokers: 0, comb: higher_card"
"Hand: 23569, jokers: 0, comb: higher_card --> higher_card"
"Hand: 22JJQ, jokers: 2, comb: two_pair"
"Hand: 22JJQ, jokers: 2, comb: two_pair --> four_kind"
"Hand: 55556, jokers: 0, comb: four_kind"
"Hand: 55556, jokers: 0, comb: four_kind --> four_kind"
"Hand: 4JJKT, jokers: 2, comb: one_pair"
"Hand: 4JJKT, jokers: 2, comb: one_pair --> three_kind"
"Hand: 35KKK, jokers: 0, comb: three_kind"
"Hand: 35KKK, jokers: 0, comb: three_kind --> three_kind"
"Hand: 2335A, jokers: 0, comb: one_pair"
"Hand: 2335A, jokers: 0, comb: one_pair --> one_pair"
"Hand: 5556J, jokers: 1, comb: three_kind"
"Hand: 5556J, jokers: 1, comb: three_kind --> four_kind"
"Hand: 79QQQ, jokers: 0, comb: three_kind"
"Hand: 79QQQ, jokers: 0, comb: three_kind --> three_kind"
"Hand: 388KK, jokers: 0, comb: two_pair"
"Hand: 388KK, jokers: 0, comb: two_pair --> two_pair"
"Hand: 6JJJK, jokers: 3, comb: three_kind"
"Hand: 6JJJK, jokers: 3, comb: three_kind --> four_kind"
"Hand: 5AAAJ, jokers: 1, comb: three_kind"
"Hand: 5AAAJ, jokers: 1, comb: three_kind --> four_kind"
"Hand: 7KKKK, jokers: 0, comb: four_kind"
"Hand: 7KKKK, jokers: 0, comb: four_kind --> four_kind"
"Hand: 37QQQ, jokers: 0, comb: three_kind"
"Hand: 37QQQ, jokers: 0, comb: three_kind --> three_kind"
"Hand: 2288K, jokers: 0, comb: two_pair"
"Hand: 2288K, jokers: 0, comb: two_pair --> two_pair"
"Hand: 55JKK, jokers: 1, comb: two_pair"
"Hand: 55JKK, jokers: 1, comb: two_pair --> full_house"
"Hand: 555JJ, jokers: 2, comb: full_house"
"Hand: 555JJ, jokers: 2, comb: full_house --> five_kind"
"Hand: AJTTT, jokers: 1, comb: three_kind"
"Hand: AJTTT, jokers: 1, comb: three_kind --> four_kind"
"Hand: 48KTT, jokers: 0, comb: one_pair"
"Hand: 48KTT, jokers: 0, comb: one_pair --> one_pair"
"Hand: 77ATT, jokers: 0, comb: two_pair"
"Hand: 77ATT, jokers: 0, comb: two_pair --> two_pair"
"Hand: 269AT, jokers: 0, comb: higher_card"
"Hand: 269AT, jokers: 0, comb: higher_card --> higher_card"
"Hand: 77AJT, jokers: 1, comb: one_pair"
"Hand: 77AJT, jokers: 1, comb: one_pair --> two_pair"
"Hand: 344KK, jokers: 0, comb: two_pair"
"Hand: 344KK, jokers: 0, comb: two_pair --> two_pair"
"Hand: 49ATT, jokers: 0, comb: one_pair"
"Hand: 49ATT, jokers: 0, comb: one_pair --> one_pair"
"Hand: 24678, jokers: 0, comb: higher_card"
"Hand: 24678, jokers: 0, comb: higher_card --> higher_card"
"Hand: 34449, jokers: 0, comb: three_kind"
"Hand: 34449, jokers: 0, comb: three_kind --> three_kind"
"Hand: 44899, jokers: 0, comb: two_pair"
"Hand: 44899, jokers: 0, comb: two_pair --> two_pair"
"Hand: 22449, jokers: 0, comb: two_pair"
"Hand: 22449, jokers: 0, comb: two_pair --> two_pair"
"Hand: 56888, jokers: 0, comb: three_kind"
"Hand: 56888, jokers: 0, comb: three_kind --> three_kind"
"Hand: 3679J, jokers: 1, comb: higher_card"
"Hand: 3679J, jokers: 1, comb: higher_card --> one_pair"
"Hand: 5788K, jokers: 0, comb: one_pair"
"Hand: 5788K, jokers: 0, comb: one_pair --> one_pair"
"Hand: 268JJ, jokers: 2, comb: one_pair"
"Hand: 268JJ, jokers: 2, comb: one_pair --> three_kind"
"Hand: 3348Q, jokers: 0, comb: one_pair"
"Hand: 3348Q, jokers: 0, comb: one_pair --> one_pair"
"Hand: AAJJJ, jokers: 3, comb: full_house"
"Hand: AAJJJ, jokers: 3, comb: full_house --> five_kind"
"Hand: 22677, jokers: 0, comb: two_pair"
"Hand: 22677, jokers: 0, comb: two_pair --> two_pair"
"Hand: 45566, jokers: 0, comb: two_pair"
"Hand: 45566, jokers: 0, comb: two_pair --> two_pair"
"Hand: 248JQ, jokers: 1, comb: higher_card"
"Hand: 248JQ, jokers: 1, comb: higher_card --> one_pair"
"Hand: 9TTTT, jokers: 0, comb: four_kind"
"Hand: 9TTTT, jokers: 0, comb: four_kind --> four_kind"
"Hand: 77AAJ, jokers: 1, comb: two_pair"
"Hand: 77AAJ, jokers: 1, comb: two_pair --> full_house"
"Hand: 2JQQQ, jokers: 1, comb: three_kind"
"Hand: 2JQQQ, jokers: 1, comb: three_kind --> four_kind"
"Hand: 88JKK, jokers: 1, comb: two_pair"
"Hand: 88JKK, jokers: 1, comb: two_pair --> full_house"
"Hand: 22233, jokers: 0, comb: full_house"
"Hand: 22233, jokers: 0, comb: full_house --> full_house"
"Hand: 222JQ, jokers: 1, comb: three_kind"
"Hand: 222JQ, jokers: 1, comb: three_kind --> four_kind"
"Hand: 88AAJ, jokers: 1, comb: two_pair"
"Hand: 88AAJ, jokers: 1, comb: two_pair --> full_house"
"Hand: 369JQ, jokers: 1, comb: higher_card"
"Hand: 369JQ, jokers: 1, comb: higher_card --> one_pair"
"Hand: 399JQ, jokers: 1, comb: one_pair"
"Hand: 399JQ, jokers: 1, comb: one_pair --> two_pair"
"Hand: 58QTT, jokers: 0, comb: one_pair"
"Hand: 58QTT, jokers: 0, comb: one_pair --> one_pair"
"Hand: 22JKK, jokers: 1, comb: two_pair"
"Hand: 22JKK, jokers: 1, comb: two_pair --> full_house"
"Hand: 44JJQ, jokers: 2, comb: two_pair"
"Hand: 44JJQ, jokers: 2, comb: two_pair --> four_kind"
"Hand: 4777J, jokers: 1, comb: three_kind"
"Hand: 4777J, jokers: 1, comb: three_kind --> four_kind"
"Hand: 35558, jokers: 0, comb: three_kind"
"Hand: 35558, jokers: 0, comb: three_kind --> three_kind"
"Hand: 389QQ, jokers: 0, comb: one_pair"
"Hand: 389QQ, jokers: 0, comb: one_pair --> one_pair"
"Hand: 3388T, jokers: 0, comb: two_pair"
"Hand: 3388T, jokers: 0, comb: two_pair --> two_pair"
"Hand: 3367A, jokers: 0, comb: one_pair"
"Hand: 3367A, jokers: 0, comb: one_pair --> one_pair"
"Hand: 22246, jokers: 0, comb: three_kind"
"Hand: 22246, jokers: 0, comb: three_kind --> three_kind"
"Hand: 388JT, jokers: 1, comb: one_pair"
"Hand: 388JT, jokers: 1, comb: one_pair --> two_pair"
"Hand: 4888J, jokers: 1, comb: three_kind"
"Hand: 4888J, jokers: 1, comb: three_kind --> four_kind"
"Hand: 666QQ, jokers: 0, comb: full_house"
"Hand: 666QQ, jokers: 0, comb: full_house --> full_house"
"Hand: 366AK, jokers: 0, comb: one_pair"
"Hand: 366AK, jokers: 0, comb: one_pair --> one_pair"
"Hand: 223AK, jokers: 0, comb: one_pair"
"Hand: 223AK, jokers: 0, comb: one_pair --> one_pair"
"Hand: 2368T, jokers: 0, comb: higher_card"
"Hand: 2368T, jokers: 0, comb: higher_card --> higher_card"
"Hand: 479JJ, jokers: 2, comb: one_pair"
"Hand: 479JJ, jokers: 2, comb: one_pair --> three_kind"
"Hand: 789JQ, jokers: 1, comb: higher_card"
"Hand: 789JQ, jokers: 1, comb: higher_card --> one_pair"
"Hand: 47799, jokers: 0, comb: two_pair"
"Hand: 47799, jokers: 0, comb: two_pair --> two_pair"
"Hand: 478AA, jokers: 0, comb: one_pair"
"Hand: 478AA, jokers: 0, comb: one_pair --> one_pair"
"Hand: 257AQ, jokers: 0, comb: higher_card"
"Hand: 257AQ, jokers: 0, comb: higher_card --> higher_card"
"Hand: 369JK, jokers: 1, comb: higher_card"
"Hand: 369JK, jokers: 1, comb: higher_card --> one_pair"
"Hand: 33KKK, jokers: 0, comb: full_house"
"Hand: 33KKK, jokers: 0, comb: full_house --> full_house"
"Hand: 4447Q, jokers: 0, comb: three_kind"
"Hand: 4447Q, jokers: 0, comb: three_kind --> three_kind"
"Hand: 3556A, jokers: 0, comb: one_pair"
"Hand: 3556A, jokers: 0, comb: one_pair --> one_pair"
"Hand: 33AKK, jokers: 0, comb: two_pair"
"Hand: 33AKK, jokers: 0, comb: two_pair --> two_pair"
"Hand: 666JQ, jokers: 1, comb: three_kind"
"Hand: 666JQ, jokers: 1, comb: three_kind --> four_kind"
"Hand: 7AKKQ, jokers: 0, comb: one_pair"
"Hand: 7AKKQ, jokers: 0, comb: one_pair --> one_pair"
"Hand: 8AAJK, jokers: 1, comb: one_pair"
"Hand: 8AAJK, jokers: 1, comb: one_pair --> two_pair"
"Hand: 268AT, jokers: 0, comb: higher_card"
"Hand: 268AT, jokers: 0, comb: higher_card --> higher_card"
"Hand: 78AAT, jokers: 0, comb: one_pair"
"Hand: 78AAT, jokers: 0, comb: one_pair --> one_pair"
"Hand: 5678T, jokers: 0, comb: higher_card"
"Hand: 5678T, jokers: 0, comb: higher_card --> higher_card"
"Hand: 22JJJ, jokers: 3, comb: full_house"
"Hand: 22JJJ, jokers: 3, comb: full_house --> five_kind"
"Hand: 555AA, jokers: 0, comb: full_house"
"Hand: 555AA, jokers: 0, comb: full_house --> full_house"
"Hand: 388TT, jokers: 0, comb: two_pair"
"Hand: 388TT, jokers: 0, comb: two_pair --> two_pair"
"Hand: 3333A, jokers: 0, comb: four_kind"
"Hand: 3333A, jokers: 0, comb: four_kind --> four_kind"
"Hand: AAJKK, jokers: 1, comb: two_pair"
"Hand: AAJKK, jokers: 1, comb: two_pair --> full_house"
"Hand: 258KK, jokers: 0, comb: one_pair"
"Hand: 258KK, jokers: 0, comb: one_pair --> one_pair"
"Hand: QTTTT, jokers: 0, comb: four_kind"
"Hand: QTTTT, jokers: 0, comb: four_kind --> four_kind"
"Hand: 445JT, jokers: 1, comb: one_pair"
"Hand: 445JT, jokers: 1, comb: one_pair --> two_pair"
"Hand: 99TTT, jokers: 0, comb: full_house"
"Hand: 99TTT, jokers: 0, comb: full_house --> full_house"
"Hand: 779JT, jokers: 1, comb: one_pair"
"Hand: 779JT, jokers: 1, comb: one_pair --> two_pair"
"Hand: 22288, jokers: 0, comb: full_house"
"Hand: 22288, jokers: 0, comb: full_house --> full_house"
"Hand: 2244J, jokers: 1, comb: two_pair"
"Hand: 2244J, jokers: 1, comb: two_pair --> full_house"
"Hand: 23447, jokers: 0, comb: one_pair"
"Hand: 23447, jokers: 0, comb: one_pair --> one_pair"
"Hand: 58JJK, jokers: 2, comb: one_pair"
"Hand: 58JJK, jokers: 2, comb: one_pair --> three_kind"
"Hand: 6AAJJ, jokers: 2, comb: two_pair"
"Hand: 6AAJJ, jokers: 2, comb: two_pair --> four_kind"
"Hand: 4JQQT, jokers: 1, comb: one_pair"
"Hand: 4JQQT, jokers: 1, comb: one_pair --> two_pair"
"Hand: 55558, jokers: 0, comb: four_kind"
"Hand: 55558, jokers: 0, comb: four_kind --> four_kind"
"Hand: 77JQT, jokers: 1, comb: one_pair"
"Hand: 77JQT, jokers: 1, comb: one_pair --> two_pair"
"Hand: 3556T, jokers: 0, comb: one_pair"
"Hand: 3556T, jokers: 0, comb: one_pair --> one_pair"
"Hand: 79KKK, jokers: 0, comb: three_kind"
"Hand: 79KKK, jokers: 0, comb: three_kind --> three_kind"
"Hand: 5779J, jokers: 1, comb: one_pair"
"Hand: 5779J, jokers: 1, comb: one_pair --> two_pair"
"Hand: 47AKQ, jokers: 0, comb: higher_card"
"Hand: 47AKQ, jokers: 0, comb: higher_card --> higher_card"
"Hand: 678JQ, jokers: 1, comb: higher_card"
"Hand: 678JQ, jokers: 1, comb: higher_card --> one_pair"
"Hand: 256AK, jokers: 0, comb: higher_card"
"Hand: 256AK, jokers: 0, comb: higher_card --> higher_card"
"Hand: 99QTT, jokers: 0, comb: two_pair"
"Hand: 99QTT, jokers: 0, comb: two_pair --> two_pair"
"Hand: 55599, jokers: 0, comb: full_house"
"Hand: 55599, jokers: 0, comb: full_house --> full_house"
"Hand: JJKKK, jokers: 2, comb: full_house"
"Hand: JJKKK, jokers: 2, comb: full_house --> five_kind"
"Hand: 33679, jokers: 0, comb: one_pair"
"Hand: 33679, jokers: 0, comb: one_pair --> one_pair"
"Hand: AAAJJ, jokers: 2, comb: full_house"
"Hand: AAAJJ, jokers: 2, comb: full_house --> five_kind"
"Hand: 349KQ, jokers: 0, comb: higher_card"
"Hand: 349KQ, jokers: 0, comb: higher_card --> higher_card"
"Hand: 446JJ, jokers: 2, comb: two_pair"
"Hand: 446JJ, jokers: 2, comb: two_pair --> four_kind"
"Hand: 33339, jokers: 0, comb: four_kind"
"Hand: 33339, jokers: 0, comb: four_kind --> four_kind"
"Hand: 3568J, jokers: 1, comb: higher_card"
"Hand: 3568J, jokers: 1, comb: higher_card --> one_pair"
"Hand: 39AJK, jokers: 1, comb: higher_card"
"Hand: 39AJK, jokers: 1, comb: higher_card --> one_pair"
"Hand: 25577, jokers: 0, comb: two_pair"
"Hand: 25577, jokers: 0, comb: two_pair --> two_pair"
"Hand: 799KK, jokers: 0, comb: two_pair"
"Hand: 799KK, jokers: 0, comb: two_pair --> two_pair"
"Hand: 26AAK, jokers: 0, comb: one_pair"
"Hand: 26AAK, jokers: 0, comb: one_pair --> one_pair"
"Hand: 5566A, jokers: 0, comb: two_pair"
"Hand: 5566A, jokers: 0, comb: two_pair --> two_pair"
"Hand: 5555T, jokers: 0, comb: four_kind"
"Hand: 5555T, jokers: 0, comb: four_kind --> four_kind"
"Hand: 788AA, jokers: 0, comb: two_pair"
"Hand: 788AA, jokers: 0, comb: two_pair --> two_pair"
"Hand: 2799K, jokers: 0, comb: one_pair"
"Hand: 2799K, jokers: 0, comb: one_pair --> one_pair"
"Hand: JQTTT, jokers: 1, comb: three_kind"
"Hand: JQTTT, jokers: 1, comb: three_kind --> four_kind"
"Hand: 88KKK, jokers: 0, comb: full_house"
"Hand: 88KKK, jokers: 0, comb: full_house --> full_house"
"Hand: 3778Q, jokers: 0, comb: one_pair"
"Hand: 3778Q, jokers: 0, comb: one_pair --> one_pair"
"Hand: 56QQT, jokers: 0, comb: one_pair"
"Hand: 56QQT, jokers: 0, comb: one_pair --> one_pair"
"Hand: 345QQ, jokers: 0, comb: one_pair"
"Hand: 345QQ, jokers: 0, comb: one_pair --> one_pair"
"Hand: 26668, jokers: 0, comb: three_kind"
"Hand: 26668, jokers: 0, comb: three_kind --> three_kind"
"Hand: 22488, jokers: 0, comb: two_pair"
"Hand: 22488, jokers: 0, comb: two_pair --> two_pair"
"Hand: 3666Q, jokers: 0, comb: three_kind"
"Hand: 3666Q, jokers: 0, comb: three_kind --> three_kind"
"Hand: 8AAAJ, jokers: 1, comb: three_kind"
"Hand: 8AAAJ, jokers: 1, comb: three_kind --> four_kind"
"Hand: 277JK, jokers: 1, comb: one_pair"
"Hand: 277JK, jokers: 1, comb: one_pair --> two_pair"
"Hand: 2288Q, jokers: 0, comb: two_pair"
"Hand: 2288Q, jokers: 0, comb: two_pair --> two_pair"
"Hand: 666AT, jokers: 0, comb: three_kind"
"Hand: 666AT, jokers: 0, comb: three_kind --> three_kind"
"Hand: KKTTT, jokers: 0, comb: full_house"
"Hand: KKTTT, jokers: 0, comb: full_house --> full_house"
"Hand: 44447, jokers: 0, comb: four_kind"
"Hand: 44447, jokers: 0, comb: four_kind --> four_kind"
"Hand: 5555J, jokers: 1, comb: four_kind"
"Hand: 5555J, jokers: 1, comb: four_kind --> five_kind"
"Hand: 899JT, jokers: 1, comb: one_pair"
"Hand: 899JT, jokers: 1, comb: one_pair --> two_pair"
"Hand: 22333, jokers: 0, comb: full_house"
"Hand: 22333, jokers: 0, comb: full_house --> full_house"
"Hand: 2489K, jokers: 0, comb: higher_card"
"Hand: 2489K, jokers: 0, comb: higher_card --> higher_card"
"Hand: 4KKKT, jokers: 0, comb: three_kind"
"Hand: 4KKKT, jokers: 0, comb: three_kind --> three_kind"
"Hand: 44445, jokers: 0, comb: four_kind"
"Hand: 44445, jokers: 0, comb: four_kind --> four_kind"
"Hand: 389QT, jokers: 0, comb: higher_card"
"Hand: 389QT, jokers: 0, comb: higher_card --> higher_card"
"Hand: 4447T, jokers: 0, comb: three_kind"
"Hand: 4447T, jokers: 0, comb: three_kind --> three_kind"
"Hand: 4449T, jokers: 0, comb: three_kind"
"Hand: 4449T, jokers: 0, comb: three_kind --> three_kind"
"Hand: 2288T, jokers: 0, comb: two_pair"
"Hand: 2288T, jokers: 0, comb: two_pair --> two_pair"
"Hand: 266TT, jokers: 0, comb: two_pair"
"Hand: 266TT, jokers: 0, comb: two_pair --> two_pair"
"Hand: 29999, jokers: 0, comb: four_kind"
"Hand: 29999, jokers: 0, comb: four_kind --> four_kind"
"Hand: 23469, jokers: 0, comb: higher_card"
"Hand: 23469, jokers: 0, comb: higher_card --> higher_card"
"Hand: 4499J, jokers: 1, comb: two_pair"
"Hand: 4499J, jokers: 1, comb: two_pair --> full_house"
"Hand: 45JQQ, jokers: 1, comb: one_pair"
"Hand: 45JQQ, jokers: 1, comb: one_pair --> two_pair"
"Hand: 44668, jokers: 0, comb: two_pair"
"Hand: 44668, jokers: 0, comb: two_pair --> two_pair"
"Hand: 678AJ, jokers: 1, comb: higher_card"
"Hand: 678AJ, jokers: 1, comb: higher_card --> one_pair"
"Hand: 28JQT, jokers: 1, comb: higher_card"
"Hand: 28JQT, jokers: 1, comb: higher_card --> one_pair"
"Hand: 39JKQ, jokers: 1, comb: higher_card"
"Hand: 39JKQ, jokers: 1, comb: higher_card --> one_pair"
"Hand: 25779, jokers: 0, comb: one_pair"
"Hand: 25779, jokers: 0, comb: one_pair --> one_pair"
"Hand: 33JJK, jokers: 2, comb: two_pair"
"Hand: 33JJK, jokers: 2, comb: two_pair --> four_kind"
"Hand: 446TT, jokers: 0, comb: two_pair"
"Hand: 446TT, jokers: 0, comb: two_pair --> two_pair"
"Hand: 33666, jokers: 0, comb: full_house"
"Hand: 33666, jokers: 0, comb: full_house --> full_house"
"Hand: 6888T, jokers: 0, comb: three_kind"
"Hand: 6888T, jokers: 0, comb: three_kind --> three_kind"
"Hand: 3448J, jokers: 1, comb: one_pair"
"Hand: 3448J, jokers: 1, comb: one_pair --> two_pair"
"Hand: 4JJQT, jokers: 2, comb: one_pair"
"Hand: 4JJQT, jokers: 2, comb: one_pair --> three_kind"
"Hand: 399QQ, jokers: 0, comb: two_pair"
"Hand: 399QQ, jokers: 0, comb: two_pair --> two_pair"
"Hand: 69999, jokers: 0, comb: four_kind"
"Hand: 69999, jokers: 0, comb: four_kind --> four_kind"
"Hand: 33667, jokers: 0, comb: two_pair"
"Hand: 33667, jokers: 0, comb: two_pair --> two_pair"
"Hand: 38AAK, jokers: 0, comb: one_pair"
"Hand: 38AAK, jokers: 0, comb: one_pair --> one_pair"
"Hand: 22AAA, jokers: 0, comb: full_house"
"Hand: 22AAA, jokers: 0, comb: full_house --> full_house"
"Hand: 888JT, jokers: 1, comb: three_kind"
"Hand: 888JT, jokers: 1, comb: three_kind --> four_kind"
"Hand: 344QQ, jokers: 0, comb: two_pair"
"Hand: 344QQ, jokers: 0, comb: two_pair --> two_pair"
"Hand: 9999J, jokers: 1, comb: four_kind"
"Hand: 9999J, jokers: 1, comb: four_kind --> five_kind"
"Hand: 34888, jokers: 0, comb: three_kind"
"Hand: 34888, jokers: 0, comb: three_kind --> three_kind"
"Hand: 2AAAJ, jokers: 1, comb: three_kind"
"Hand: 2AAAJ, jokers: 1, comb: three_kind --> four_kind"
"Hand: 33555, jokers: 0, comb: full_house"
"Hand: 33555, jokers: 0, comb: full_house --> full_house"
"Hand: 467AK, jokers: 0, comb: higher_card"
"Hand: 467AK, jokers: 0, comb: higher_card --> higher_card"
"Hand: 56AAA, jokers: 0, comb: three_kind"
"Hand: 56AAA, jokers: 0, comb: three_kind --> three_kind"
